InvoiceDate,InvoiceId,SalesUNit,Qty,NetWeight,CustomerName,LineAmount1,Freight,City,State,ItemName,ProductCategory
30-11-2019,SGE-1920/007321,SET,41,984,Customer 213,776671.2,1989.56,Durg,CT,Item 2,Category 2
30-11-2019,SGE-1920/007337,SET,29,696,Customer 181,777849.6,1593.38,JAMSHEDPUR,JH,Item 2,Category 2
30-11-2019,SGE-1920/007229,CAN,504,209.16,Customer 203,123480,412.42,AHMEDABAD,GJ,Item 5,Category 3
30-11-2019,SGE-1920/007031,BKT,3,60,Customer 214,45302.4,111.11,BANGALURU,KA,Item 1,Category 1
30-11-2019,SGE-1920/006987,CAN,504,209.16,Customer 215,100800,389.83,JHANSI,UP,Item 5,Category 3
11-12-2019,SGE-1920/007368,CAN,12,4.98,Customer 66,3064.93,5.65,JAMNAGAR,GJ,Item 5,Category 3
12-12-2019,SGE-1920/007406,CAN,100,41.5,Customer 193,20000,63.44,HARIDWAR,UT,Item 5,Category 3
13-12-2019,DD-1920/000301,CAN,270,112.05,Customer 130,45900,0,SILVASSA,DN,Item 5,Category 3
13-12-2019,SGE-1920/007431,BKT,5,100,Customer 16,28350,135.48,BHOPAL,MP,Item 1,Category 1
13-12-2019,SGE-1920/007426,CAN,200,83,Customer 216,55452.32,177.67,CHENNAI,TN,Item 5,Category 3
17-12-2019,SGE-1920/007500,BKT,7,140,Customer 131,79409.79,186.52,MURSHEDABAD,WB,Item 1,Category 1
17-12-2019,SGE-1920/007487,CAN,244,101.26,Customer 5,41376.3,131.18,GURGAON,HR,Item 5,Category 3
17-12-2019,SGE-1920/007483,CAN,19,7.89,Customer 35,5131.14,10.59,PUNE,MH,Item 5,Category 3
18-12-2019,DD-1920/000305,CAN,400,166,Customer 101,68000,0,RAIGAD,MH,Item 5,Category 3
18-12-2019,SGE-1920/007522,CAN,48,19.92,Customer 29,13728,41.28,VIJAYWADA,AP,Item 5,Category 3
18-12-2019,SGE-1920/007512,BKT,6,120,Customer 21,73920,192.54,BHARUCH,GJ,Item 1,Category 1
19-12-2019,SGE-1920/007535,KIT,100,1800,Customer 75,468000,486.72,JHARSUGUDA,OR,Item 4,Category 2
19-12-2019,SGE-1920/007554,BKT,10,200,Customer 33,66000,280.64,BHILWARA,RJ,Item 1,Category 1
19-12-2019,SGE-1920/007547,CAN,40,16.6,Customer 217,8000,19.55,RAIPUR,CT,Item 5,Category 3
21-12-2019,DD-1920/000307,BKT,50,1000,Customer 46,402020,0,BHARUCH,GJ,Item 1,Category 1
